resource,ligand,receptor,family
consensus,WNT10B,FZD9_LRP5,exploratory
consensus,WNT10B,FZD9_LRP6,exploratory
consensus,WNT10B,FZD6_LRP5,exploratory
consensus,WNT10B,FZD6_LRP6,exploratory
consensus,WNT10B,FZD7_LRP5,exploratory
consensus,WNT10B,FZD7_LRP6,exploratory
consensus,WNT10B,FZD5_LRP5,exploratory
consensus,WNT10B,FZD2_LRP5,exploratory
consensus,WNT10B,FZD8_LRP5,exploratory
consensus,WNT10B,FZD3_LRP5,exploratory
consensus,WNT10B,FZD4_LRP5,exploratory
consensus,WNT10B,FZD10_LRP5,exploratory
consensus,WNT10B,FZD1_LRP5,exploratory
consensus,WNT10B,FZD5_LRP6,exploratory
consensus,WNT10B,FZD2_LRP6,exploratory
consensus,WNT10B,FZD8_LRP6,exploratory
consensus,WNT10B,FZD3_LRP6,exploratory
consensus,WNT10B,FZD4_LRP6,exploratory
consensus,WNT10B,FZD10_LRP6,exploratory
consensus,WNT10B,FZD1_LRP6,exploratory
consensus,WNT7A,FZD9_LRP5,exploratory
consensus,WNT7A,FZD9_LRP6,exploratory
consensus,WNT7A,FZD6_LRP5,exploratory
consensus,WNT7A,FZD6_LRP6,exploratory
consensus,WNT7A,FZD7_LRP5,exploratory
consensus,WNT7A,FZD7_LRP6,exploratory
consensus,WNT7A,FZD5_LRP5,exploratory
consensus,WNT7A,FZD2_LRP5,exploratory
consensus,WNT7A,FZD8_LRP5,exploratory
consensus,WNT7A,FZD3_LRP5,exploratory
consensus,WNT7A,FZD4_LRP5,exploratory
consensus,WNT7A,FZD10_LRP5,exploratory
consensus,WNT7A,FZD1_LRP5,exploratory
consensus,WNT7A,FZD5_LRP6,exploratory
consensus,WNT7A,FZD2_LRP6,exploratory
consensus,WNT7A,FZD8_LRP6,exploratory
consensus,WNT7A,FZD3_LRP6,exploratory
consensus,WNT7A,FZD4_LRP6,exploratory
consensus,WNT7A,FZD10_LRP6,exploratory
consensus,WNT7A,FZD1_LRP6,exploratory
consensus,WNT7A,RECK,exploratory
consensus,WNT7A,LDLR,exploratory
consensus,WNT9A,FZD9_LRP5,exploratory
consensus,WNT9A,FZD9_LRP6,exploratory
consensus,WNT9A,FZD6_LRP5,exploratory
consensus,WNT9A,FZD6_LRP6,exploratory
consensus,WNT9A,FZD7_LRP5,exploratory
consensus,WNT9A,FZD7_LRP6,exploratory
consensus,WNT9A,FZD5_LRP5,exploratory
consensus,WNT9A,FZD2_LRP5,exploratory
consensus,WNT9A,FZD8_LRP5,exploratory
consensus,WNT9A,FZD3_LRP5,exploratory
consensus,WNT9A,FZD4_LRP5,exploratory
consensus,WNT9A,FZD10_LRP5,exploratory
consensus,WNT9A,FZD1_LRP5,exploratory
consensus,WNT9A,FZD5_LRP6,exploratory
consensus,WNT9A,FZD2_LRP6,exploratory
consensus,WNT9A,FZD8_LRP6,exploratory
consensus,WNT9A,FZD3_LRP6,exploratory
consensus,WNT9A,FZD4_LRP6,exploratory
consensus,WNT9A,FZD10_LRP6,exploratory
consensus,WNT9A,FZD1_LRP6,exploratory
consensus,WNT9B,FZD9_LRP5,exploratory
consensus,WNT9B,FZD9_LRP6,exploratory
consensus,WNT9B,FZD6_LRP5,exploratory
consensus,WNT9B,FZD6_LRP6,exploratory
consensus,WNT9B,FZD7_LRP5,exploratory
consensus,WNT9B,FZD7_LRP6,exploratory
consensus,WNT9B,FZD5_LRP5,exploratory
consensus,WNT9B,FZD2_LRP5,exploratory
consensus,WNT9B,FZD8_LRP5,exploratory
consensus,WNT9B,FZD3_LRP5,exploratory
consensus,WNT9B,FZD4_LRP5,exploratory
consensus,WNT9B,FZD10_LRP5,exploratory
consensus,WNT9B,FZD1_LRP5,exploratory
consensus,WNT9B,FZD5_LRP6,exploratory
consensus,WNT9B,FZD2_LRP6,exploratory
consensus,WNT9B,FZD8_LRP6,exploratory
consensus,WNT9B,FZD3_LRP6,exploratory
consensus,WNT9B,FZD4_LRP6,exploratory
consensus,WNT9B,FZD10_LRP6,exploratory
consensus,WNT9B,FZD1_LRP6,exploratory
consensus,FGF10,FGFR1,exploratory
consensus,FGF10,FGFR2,exploratory
consensus,FGF10,FGFRL1,exploratory
consensus,WNT11,FZD9,exploratory
consensus,WNT11,MUSK,exploratory
consensus,WNT11,FZD6,exploratory
consensus,WNT11,FZD7,exploratory
consensus,WNT11,FZD5,exploratory
consensus,WNT11,FZD2,exploratory
consensus,WNT11,FZD8,exploratory
consensus,WNT11,FZD3,exploratory
consensus,WNT11,FZD4,exploratory
consensus,WNT11,FZD10,exploratory
consensus,TGFB1,ITGAV_ITGB6,core
consensus,TGFB1,ACVR1B_TGFBR2,core
consensus,TGFB1,TGFBR1_TGFBR2,core
consensus,TGFB1,ACVR1_TGFBR1_TGFBR2,core
consensus,TGFB1,ACVR1_TGFBR2,core
consensus,TGFB1,ACVR1C_TGFBR2,core
consensus,TGFB1,EGFR,core
consensus,TGFB1,ITGB3,core
consensus,TGFB1,ITGB1,core
consensus,TGFB1,ITGB5,core
consensus,TGFB1,ITGB8,core
consensus,TGFB1,SDC2,core
consensus,TGFB1,ACVRL1,core
consensus,TGFB1,CXCR4,core
consensus,TGFB1,TGFBR3,core
consensus,TGFB1,VASN,core
consensus,IL1A,IL1R1_IL1RAP,core
consensus,IL1A,IL1R2_IL1RAP,core
consensus,IL1B,IL1R1_IL1RAP,core
consensus,IL1B,IL1R2_IL1RAP,core
consensus,IL1B,ADRB2,core
consensus,IL1B,SIGIRR,core
consensus,WNT1,FZD9_LRP5,exploratory
consensus,WNT1,FZD9_LRP6,exploratory
consensus,WNT1,FZD6_LRP5,exploratory
consensus,WNT1,FZD6_LRP6,exploratory
consensus,WNT1,FZD7_LRP5,exploratory
consensus,WNT1,FZD7_LRP6,exploratory
consensus,WNT1,FZD5_LRP5,exploratory
consensus,WNT1,FZD2_LRP5,exploratory
consensus,WNT1,FZD8_LRP5,exploratory
consensus,WNT1,FZD3_LRP5,exploratory
consensus,WNT1,FZD4_LRP5,exploratory
consensus,WNT1,FZD10_LRP5,exploratory
consensus,WNT1,FZD1_LRP5,exploratory
consensus,WNT1,FZD5_LRP6,exploratory
consensus,WNT1,FZD2_LRP6,exploratory
consensus,WNT1,FZD8_LRP6,exploratory
consensus,WNT1,FZD3_LRP6,exploratory
consensus,WNT1,FZD4_LRP6,exploratory
consensus,WNT1,FZD10_LRP6,exploratory
consensus,WNT1,FZD1_LRP6,exploratory
consensus,WNT1,CD36,exploratory
consensus,WNT1,RYK,exploratory
consensus,WNT1,ROR2,exploratory
consensus,CXCL1,ADRA2A,exploratory
consensus,CXCL1,CXCR1,exploratory
consensus,CXCL1,CXCR2,exploratory
consensus,CXCL1,MTNR1A,exploratory
consensus,CXCL1,GRM7,exploratory
consensus,CXCL1,ACKR1,exploratory
consensus,WNT2,FZD9_LRP5,exploratory
consensus,WNT2,FZD9_LRP6,exploratory
consensus,WNT2,FZD6_LRP5,exploratory
consensus,WNT2,FZD6_LRP6,exploratory
consensus,WNT2,FZD7_LRP5,exploratory
consensus,WNT2,FZD7_LRP6,exploratory
consensus,WNT2,FZD5_LRP5,exploratory
consensus,WNT2,FZD2_LRP5,exploratory
consensus,WNT2,FZD8_LRP5,exploratory
consensus,WNT2,FZD3_LRP5,exploratory
consensus,WNT2,FZD4_LRP5,exploratory
consensus,WNT2,FZD10_LRP5,exploratory
consensus,WNT2,FZD1_LRP5,exploratory
consensus,WNT2,FZD5_LRP6,exploratory
consensus,WNT2,FZD2_LRP6,exploratory
consensus,WNT2,FZD8_LRP6,exploratory
consensus,WNT2,FZD3_LRP6,exploratory
consensus,WNT2,FZD4_LRP6,exploratory
consensus,WNT2,FZD10_LRP6,exploratory
consensus,WNT2,FZD1_LRP6,exploratory
consensus,CCL2,CCR1,exploratory
consensus,CCL2,CCR2,exploratory
consensus,CCL2,CCR10,exploratory
consensus,CCL2,CCR3,exploratory
consensus,CCL2,CCR4,exploratory
consensus,CCL2,CCR5,exploratory
consensus,CCL2,ACKR1,exploratory
consensus,CCL2,ACKR4,exploratory
consensus,AREG,EGFR_ERBB2,core
consensus,AREG,ERBB3,core
consensus,VEGFA,FLT1_KDR,exploratory
consensus,VEGFA,NRP1,exploratory
consensus,VEGFA,NRP2,exploratory
consensus,VEGFA,EGFR,exploratory
consensus,VEGFA,ITGB3,exploratory
consensus,VEGFA,ITGB1,exploratory
consensus,VEGFA,ITGAV,exploratory
consensus,VEGFA,RET,exploratory
consensus,VEGFA,EPHB2,exploratory
consensus,VEGFA,GPC1,exploratory
consensus,VEGFA,SIRPA,exploratory
consensus,VEGFA,TYRO3,exploratory
consensus,VEGFA,ITGA9,exploratory
consensus,CXCL2,CXCR1,exploratory
consensus,CXCL2,CXCR2,exploratory
consensus,CXCL2,XCR1,exploratory
consensus,CXCL2,MTNR1A,exploratory
consensus,CXCL2,GRM7,exploratory
consensus,CXCL2,ACKR1,exploratory
consensus,FGF7,NRP1,exploratory
consensus,FGF7,FGFR1,exploratory
consensus,FGF7,FGFR2,exploratory
consensus,FGF7,FGFR4,exploratory
consensus,FGF7,FGFR3,exploratory
consensus,WNT5A,FZD9,exploratory
consensus,WNT5A,FZD6,exploratory
consensus,WNT5A,FZD7,exploratory
consensus,WNT5A,LRP5,exploratory
consensus,WNT5A,LRP6,exploratory
consensus,WNT5A,LDLR,exploratory
consensus,WNT5A,ADRB2,exploratory
consensus,WNT5A,RYK,exploratory
consensus,WNT5A,MCAM,exploratory
consensus,WNT5A,LRP2,exploratory
consensus,WNT5A,ROR1,exploratory
consensus,WNT5A,ROR2,exploratory
consensus,WNT5A,PTK7,exploratory
consensus,WNT5A,FZD5,exploratory
consensus,WNT5A,FZD2,exploratory
consensus,WNT5A,PTPRK,exploratory
consensus,WNT5A,EPHA7,exploratory
consensus,WNT5A,FZD8,exploratory
consensus,WNT5A,ANTXR1,exploratory
consensus,WNT5A,FZD3,exploratory
consensus,WNT5A,FZD4,exploratory
consensus,WNT5A,FZD10,exploratory
consensus,CXCL12,CD4,exploratory
consensus,CXCL12,ITGB3,exploratory
consensus,CXCL12,ITGB1,exploratory
consensus,CXCL12,ITGAV,exploratory
consensus,CXCL12,ITGA5,exploratory
consensus,CXCL12,ITGA4,exploratory
consensus,CXCL12,ACKR3,exploratory
consensus,CXCL12,AVPR1A,exploratory
consensus,CXCL12,MTNR1A,exploratory
consensus,CXCL12,CXCR3,exploratory
consensus,CXCL12,CCR4,exploratory
consensus,CXCL12,CXCR4,exploratory
consensus,CXCL12,GRM7,exploratory
consensus,WNT3,FZD9_LRP5,exploratory
consensus,WNT3,FZD9_LRP6,exploratory
consensus,WNT3,FZD6_LRP5,exploratory
consensus,WNT3,FZD6_LRP6,exploratory
consensus,WNT3,FZD7_LRP5,exploratory
consensus,WNT3,FZD7_LRP6,exploratory
consensus,WNT3,FZD5_LRP5,exploratory
consensus,WNT3,FZD2_LRP5,exploratory
consensus,WNT3,FZD8_LRP5,exploratory
consensus,WNT3,FZD3_LRP5,exploratory
consensus,WNT3,FZD4_LRP5,exploratory
consensus,WNT3,FZD10_LRP5,exploratory
consensus,WNT3,FZD1_LRP5,exploratory
consensus,WNT3,FZD5_LRP6,exploratory
consensus,WNT3,FZD2_LRP6,exploratory
consensus,WNT3,FZD8_LRP6,exploratory
consensus,WNT3,FZD3_LRP6,exploratory
consensus,WNT3,FZD4_LRP6,exploratory
consensus,WNT3,FZD10_LRP6,exploratory
consensus,WNT3,FZD1_LRP6,exploratory
consensus,WNT3,RYK,exploratory
consensus,WNT3,ROR2,exploratory
consensus,WNT3A,FZD9_LRP5,exploratory
consensus,WNT3A,FZD9_LRP6,exploratory
consensus,WNT3A,FZD6_LRP5,exploratory
consensus,WNT3A,FZD6_LRP6,exploratory
consensus,WNT3A,FZD7_LRP5,exploratory
consensus,WNT3A,FZD7_LRP6,exploratory
consensus,WNT3A,FZD5_LRP5,exploratory
consensus,WNT3A,FZD2_LRP5,exploratory
consensus,WNT3A,FZD8_LRP5,exploratory
consensus,WNT3A,FZD3_LRP5,exploratory
consensus,WNT3A,FZD4_LRP5,exploratory
consensus,WNT3A,FZD10_LRP5,exploratory
consensus,WNT3A,FZD1_LRP5,exploratory
consensus,WNT3A,FZD5_LRP6,exploratory
consensus,WNT3A,FZD2_LRP6,exploratory
consensus,WNT3A,FZD8_LRP6,exploratory
consensus,WNT3A,FZD3_LRP6,exploratory
consensus,WNT3A,FZD4_LRP6,exploratory
consensus,WNT3A,FZD10_LRP6,exploratory
consensus,WNT3A,FZD1_LRP6,exploratory
consensus,WNT3A,LGR5,exploratory
consensus,WNT3A,ATP6AP2,exploratory
consensus,WNT3A,RYK,exploratory
consensus,WNT3A,ROR1,exploratory
consensus,WNT3A,LRP1,exploratory
consensus,WNT3A,APCDD1,exploratory
consensus,WNT4,FZD9_LRP5,exploratory
consensus,WNT4,FZD9_LRP6,exploratory
consensus,WNT4,FZD6_LRP5,exploratory
consensus,WNT4,FZD6_LRP6,exploratory
consensus,WNT4,FZD7_LRP5,exploratory
consensus,WNT4,FZD7_LRP6,exploratory
consensus,WNT4,FZD5_LRP5,exploratory
consensus,WNT4,FZD2_LRP5,exploratory
consensus,WNT4,FZD8_LRP5,exploratory
consensus,WNT4,FZD3_LRP5,exploratory
consensus,WNT4,FZD4_LRP5,exploratory
consensus,WNT4,FZD10_LRP5,exploratory
consensus,WNT4,FZD1_LRP5,exploratory
consensus,WNT4,FZD5_LRP6,exploratory
consensus,WNT4,FZD2_LRP6,exploratory
consensus,WNT4,FZD8_LRP6,exploratory
consensus,WNT4,FZD3_LRP6,exploratory
consensus,WNT4,FZD4_LRP6,exploratory
consensus,WNT4,FZD10_LRP6,exploratory
consensus,WNT4,FZD1_LRP6,exploratory
consensus,WNT4,NOTCH1,exploratory
consensus,WNT4,SMO,exploratory
consensus,WNT7B,FZD9_LRP5,exploratory
consensus,WNT7B,FZD9_LRP6,exploratory
consensus,WNT7B,FZD6_LRP5,exploratory
consensus,WNT7B,FZD6_LRP6,exploratory
consensus,WNT7B,FZD7_LRP5,exploratory
consensus,WNT7B,FZD7_LRP6,exploratory
consensus,WNT7B,FZD5_LRP5,exploratory
consensus,WNT7B,FZD2_LRP5,exploratory
consensus,WNT7B,FZD8_LRP5,exploratory
consensus,WNT7B,FZD3_LRP5,exploratory
consensus,WNT7B,FZD4_LRP5,exploratory
consensus,WNT7B,FZD10_LRP5,exploratory
consensus,WNT7B,FZD1_LRP5,exploratory
consensus,WNT7B,FZD5_LRP6,exploratory
consensus,WNT7B,FZD2_LRP6,exploratory
consensus,WNT7B,FZD8_LRP6,exploratory
consensus,WNT7B,FZD3_LRP6,exploratory
consensus,WNT7B,FZD4_LRP6,exploratory
consensus,WNT7B,FZD10_LRP6,exploratory
consensus,WNT7B,FZD1_LRP6,exploratory
consensus,WNT2B,FZD9_LRP5,exploratory
consensus,WNT2B,FZD9_LRP6,exploratory
consensus,WNT2B,FZD6_LRP5,exploratory
consensus,WNT2B,FZD6_LRP6,exploratory
consensus,WNT2B,FZD7_LRP5,exploratory
consensus,WNT2B,FZD7_LRP6,exploratory
consensus,WNT2B,FZD5_LRP5,exploratory
consensus,WNT2B,FZD2_LRP5,exploratory
consensus,WNT2B,FZD8_LRP5,exploratory
consensus,WNT2B,FZD3_LRP5,exploratory
consensus,WNT2B,FZD4_LRP5,exploratory
consensus,WNT2B,FZD10_LRP5,exploratory
consensus,WNT2B,FZD1_LRP5,exploratory
consensus,WNT2B,FZD5_LRP6,exploratory
consensus,WNT2B,FZD2_LRP6,exploratory
consensus,WNT2B,FZD8_LRP6,exploratory
consensus,WNT2B,FZD3_LRP6,exploratory
consensus,WNT2B,FZD4_LRP6,exploratory
consensus,WNT2B,FZD10_LRP6,exploratory
consensus,WNT2B,FZD1_LRP6,exploratory
consensus,WNT8B,FZD9_LRP5,exploratory
consensus,WNT8B,FZD9_LRP6,exploratory
consensus,WNT8B,FZD6_LRP5,exploratory
consensus,WNT8B,FZD6_LRP6,exploratory
consensus,WNT8B,FZD7_LRP5,exploratory
consensus,WNT8B,FZD7_LRP6,exploratory
consensus,WNT8B,FZD5_LRP5,exploratory
consensus,WNT8B,FZD2_LRP5,exploratory
consensus,WNT8B,FZD8_LRP5,exploratory
consensus,WNT8B,FZD3_LRP5,exploratory
consensus,WNT8B,FZD4_LRP5,exploratory
consensus,WNT8B,FZD10_LRP5,exploratory
consensus,WNT8B,FZD1_LRP5,exploratory
consensus,WNT8B,FZD5_LRP6,exploratory
consensus,WNT8B,FZD2_LRP6,exploratory
consensus,WNT8B,FZD8_LRP6,exploratory
consensus,WNT8B,FZD3_LRP6,exploratory
consensus,WNT8B,FZD4_LRP6,exploratory
consensus,WNT8B,FZD10_LRP6,exploratory
consensus,WNT8B,FZD1_LRP6,exploratory
consensus,HBEGF,EGFR_ERBB2,core
consensus,HBEGF,ERBB2_ERBB4,core
consensus,HBEGF,CD44,core
consensus,HBEGF,PRLR,core
consensus,WNT10A,FZD9_LRP5,exploratory
consensus,WNT10A,FZD9_LRP6,exploratory
consensus,WNT10A,FZD6_LRP5,exploratory
