cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,difference_IPF_minus_control,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
GSE136831,broad,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.4424431899746679,-0.16109087966656777,-0.7237955002827672,-0.5701327207970577,-0.3195311600833808,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.07887339490002532,-0.16109087966656777,0.003344089866520683,-0.22440216425766923,-0.0034764820849897404,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.27209838687355425,-0.16109087966656777,-0.38310589408054163,-0.4147584257617183,-0.1900144035123521,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.3062628591356287,-0.16109087966656777,0.7736165979378251,0.20647263433016594,0.38129279423619966,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.34721592666544154,-0.16109087966656777,0.85552273299745,0.2474257018599788,0.42224586176601253,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.5796898316552852,-0.16109087966656777,1.3204705429771388,0.4198905478530097,0.7233328608389424,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,EGFR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.30863883977231676,-0.16109087966656777,-0.456186799878064,-0.3464682057052615,-0.2614842692793369,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ITGB3,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.4095464026052742,-0.16109087966656777,-0.6580019255439815,-0.5053421707837185,-0.3216745599944053,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ITGB1,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.020194101269446207,-0.16109087966656777,0.20147908220546196,-0.0707850662059295,0.06722223763611268,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ITGB5,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.03688008378126728,-0.16109087966656777,0.23485104722910322,-0.12317984260149295,0.1449816505901147,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,ITGB8,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.2398999904052621,-0.16109087966656777,0.6408908604770929,0.08983725913900287,0.39579322935656425,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,SDC2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,-0.05222345475830892,-0.16109087966656777,0.056643970149951706,-0.12433953763771033,0.04559466086532993,descriptive_no_p_value
